categoryID,brandName,displayName,heroImage,productId,rating,reviews,longDescription,brandID,ingredientDesc,listPrice,quickLookDescription,lovesCount,fullSiteProductUrl
foundation-makeup,NARS,Natural Radiant Longwear Full Coverage Foundation,https://www.sephora.com/productimages/sku/s2814192-main-zoom.jpg?imwidth=270,P427301,3.6688,4028,"Makeup artist. Photographer. Iconoclast. Creative visionary François Nars launched NARS Cosmetics with 12 cult-favorite lipsticks in 1994, inspiring self-expression, creativity, and artistry with uncompromising pigment purity and imaginative color. Today, NARS’ boundary-pushing approach manifests from the pigments to the products to the photographed campaigns, shot by François himself—bringing high-fashion, high-style, and forward thinking to beauty. “Play and try to be a little bit daring. Break the rules.” –FRANÇOIS NARSFOUNDER & CREATIVE DIRECTOR OF NARS Cosmetics",nars,"Dimethicone, Water, Phenyl Trimethicone, Glycerin, Polymethylsilsesquioxane, Peg-10 Dimethicone, Dimethicone Crosspolymer, Cyclopentasiloxane, Trimethylsiloxysilicate, Ppg-3 Benzyl Ether Myristate, Boron Nitride, Bis-Butyldimethicone Polyglyceryl-3, Butylene Glycol, Sorbitan Sesquiisostearate, Rubus Idaeus (Raspberry) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Tocopherol, Sodium Pca, Sodium Lactate, Disodium Stearoyl Glutamate, Hydrogenated Polydecene, Pentaerythrityl Tetraethylhexanoate, Peg/Ppg-14/7 Dimethyl Ether, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Stearoyl Glutamate, Behenic Acid, Stearic Acid, Stearyl Alcohol, Behenyl Alcohol, Disteardimonium Hectorite, Triethoxycaprylylsilane, Barium Sulfate, Aluminum Dimyristate, Alumina, Tin Oxide, Polysilicone-2, Potassium Hydroxide, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, [+/- (May Contain): Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499)].",52.0,"<p>A buildable, full-coverage foundation with up to 16 hours of lightweight, natural, fade-resistant wear.</p>",453940.0,
foundation-makeup,ONE/SIZE by Patrick Starrr,Turn Up the Base Full Beat Waterproof Liquid Foundation,https://www.sephora.com/productimages/sku/s2801199-main-zoom.jpg?imwidth=270,P513724,4.3793,551,,,,,,0.0,
foundation-makeup,Sephora Favorites,Complexion Try-On Sample Bag With Redeemable Voucher,https://www.sephora.com/productimages/sku/s2823409-main-zoom.jpg?imwidth=270,P514455,3.5833,12,,,,,,0.0,
foundation-makeup,HAUS LABS BY LADY GAGA,Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica,https://www.sephora.com/productimages/sku/s2597276-main-zoom.jpg?imwidth=270&pb=allure-2023-clean-badge,P502185,4.0823,3646,"HAUS LABS BY LADY GAGA: Welcome to the Future of Clean Makeup. Our supercharged, clean artistry makeup is powered by innovation, created for everyone at all application levels, shapes, sizes, colors, ages, and genders. Our makeup is high-tech, high-pigment, and high-performance—presented in an all-new, chic, color-coded, sustainable packaging system. Our inclusive, futuristic formulas are made with patented complexes and proprietary ingredients that deliver skincare benefits. All Haus Labs products are created with kindness—clean, cruelty-free, and vegan. 
 
At Haus, CLEAN goes beyond the 2,600+ ingredients we ban, and rather what’s included. We are committed to cutting-edge, clean ingredient innovations, including our exclusive patent-pending Fermented Arnica, which is 860% times more powerful than conventional arnica. Our name reflects our beliefs: “Haus” represents a creative collective, and “Labs” represents our commitment to biotech. THE FUTURE IS BEAUTIFUL.",haus-labs-by-lady-gaga,"- Fermented Arnica: Helps visibly reduces redness and irritation.<br>- Intellizen 7 Complex&trade;: Proprietary blend of medicinal herbs that promote healing and calming.<br>- BioFerment 7 Complex&trade;: Proprietary blend of super antioxidants that protect the skin from stress.<br><br>Aqua (Water, Eau), Diphenylsiloxy Phenyl Trimethicone, Phenyl Trimethicone, Caprylyl Methicone, Trimethylsiloxysilicate, Propylene Glycol Dibenzoate, Isododecane, Glycerin, Butylene Glycol, Methyl Trimethicone, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, C13-15 Alkane, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Alcohol Denat., Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Polymethylsilsesquioxane, Sorbitan Sesquioleate, Disteardimonium Hectorite, 1,2-Hexanediol, Palmitoyl Tetrapeptide-10, Arnica Montana Flower Extract**, Hydrolyzed Hyaluronic Acid, Squalane, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Apricot Kernel Oil/Olive Fruit Oil/Sweet Almond Oil/Sunflower Seed Oil/Licorice Root Extract Ferment Extract Filtrate, Pseudozyma Epicola/Apricot Kernel Oil/Olive Fruit Oil/Sunflower Seed Oil/Sweet Almond Oil/(Angelica Gigas/Lithospermum Erythrorhizon) Root, Solanum Lycopersicum (Tomato) Fruit Extract, Dunaliella Salina Extract, Hedychium Coronarium Root Extract, Tocopherol, Althaea Rosea Flower Extract, Taraxacum Officinale (Dandelion) Extract, Perilla Ocymoides Leaf Extract, Panax Notoginseng Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Extract, Centella Asiatica Extract, Pseudozyma Epicola/Sunflower Seed Oil Ferment Extract Filtrate, Caprylyl Glycol, Ethylhexylglycerin, Magnesium Sulfate, Polypropylsilsesquioxane, Acrylates/Dimethicone Copolymer, Triethoxycaprylylsilane, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides).<br>**Fermented.<br><br>.<br><br><i>The list of ingredients is subject to change, please consult the packaging of the product purchased.</i>",49.0,"An advanced, skincare-infused, long-wearing foundation that delivers buildable, medium coverage with a naturally luminous finish in 51 ultra-fluid shades.",750299.0,
foundation-makeup,Armani Beauty,Luminous Silk Perfect Glow Flawless Oil-Free Foundation,https://www.sephora.com/productimages/sku/s1359694-main-zoom.jpg?imwidth=270,P393401,4.2128,4733,"Giorgio Armani translates his sense of fashion and his aesthetic vision into the world of fragrances, make-up and skincare. Elegance is key: beauty, simplicity and quality are delivered through products made from the finest materials, designed to convey an understated and timeless sophistication.",giorgio-armani-beauty," -Micro-Fil Technology: Provides a translucent radiance and flawless finish.<br><br>Aqua / Water, Cyclopentasiloxane, Glycerin, Isododecane, Alcohol Denat., Polyglyceryl-4 Isostearate, Cetyl Peg/Ppg-10/1 Dimethicone, Hexyl Laurate, Aluminum Starch Octenylsuccinate, Disteardimonium Hectorite, Phenoxyethanol, Acetylated Glycol Stearate, Magnesium Sulfate, Peg-10 Dimethicone, Trihydroxystearin, Cellulose Gum, Nylon-12, Limonene, Benzyl Salicylate, Benzyl Alcohol, Linalool, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Isobutane, Diphenyl Dimethicone, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloridecopolymer, Parfum / Fragrance, Disodium Stearoyl Glutamate, Methylparaben, Butylphenyl Methylpropional, Aluminum Hydroxide, Hexyl Cinnamal.",69.0,"<p>An award-winning, oil-free foundation that delivers buildable, medium coverage and a luminous, glowy-skin finish for a natural makeup look.</p>",904378.0,
foundation-makeup,Charlotte Tilbury,Hollywood Flawless Filter,https://www.sephora.com/productimages/sku/s2419786-main-zoom.jpg?imwidth=270,P434104,4.2406,3425,"Founded by British makeup artist Charlotte Tilbury, MBE, in 2013, Charlotte Tilbury Beauty revolutionized the face of the global beauty industry by decoding makeup application for everyone, at every age, with an easy-to-use, easy-to-choose, easy-to-gift range. The company mission is to share the power of makeup, using Charlotte’s award-winning, iconic makeup and research-powered skincare products, to show everyone how easy it is to look and feel like the most beautiful versions of themselves every single day.",charlotte-tilbury,"-Finely Milled Powders: Blur lines and pores for a smoother, soft-focus look.<br>-Porcelain Flower Extract: A Thai flower derivative that brightens and moisturizes skin.<br>-Glossy Oil: A lightweight moisturizing oil that reflects and adds light where you need it.<br><br> Aqua/Water/Eau, Hydrogenated Didecene, Mica, Glycerin, Propanediol, Squalane, Cetyl Peg/Ppg-10/1 Dimethicone, Isoamyl Laurate, Hydrogenated Styrene/Isoprene Copolymer, Sodium Chloride, Caprylic/Capric Triglyceride, Hydroxyacetophenone, Polyglyceryl-4 Isostearate, 1,2-Hexanediol, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Hoya Lacunosa Flower Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, [+/- Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Bismuth Oxychloride (Ci 77163)].",49.0,"<p>A complexion booster that blurs, smooths, and illuminates for a real-life filter effect. Customize your glow with four ways to apply.</p>",793058.0,
foundation-makeup,HUDA BEAUTY,Easy Blur Natural Airbrush Foundation with Niacinamide,https://www.sephora.com/productimages/sku/s2787125-main-zoom.jpg?imwidth=270,P512640,4.568,2734,,,,,,0.0,
foundation-makeup,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,https://www.sephora.com/productimages/sku/s2326890-main-zoom.jpg?imwidth=270&pb=2023-03-sephora-value-2023,P467140,4.1735,1643,,,,,,0.0,
foundation-makeup,NARS,Light Reflecting Advanced Skincare Medium Coverage Foundation,https://www.sephora.com/productimages/sku/s2514586-main-zoom.jpg?imwidth=270&pb=allure-2022-bestofbeauty-badge,P479338,4.112,2606,,,,,,0.0,
foundation-makeup,Estée Lauder,Double Wear Stay-in-Place 24-Hour Longwear Foundation,https://www.sephora.com/productimages/sku/s2602043-main-zoom.jpg?imwidth=270,P378284,4.3656,7546,"Estée Lauder offers an unparalleled collection of skincare, makeup, and fragrance products, including bestsellers and proven solutions. As one of the world's most beloved and respected brands, the Estée Lauder name is recognized in over 100 countries as a symbol of quality, luxury, and promises kept.",estee-lauder,"<p>Double Wear Stay-In-Place Non Otc Division: El (Estee Lauder)Ingredients: Water, Cyclopentasiloxane, Trimethylsiloxysilicate, Peg/Ppg-18/18 Dimethicone, Butylene Glycol, Tribehenin, Polyglyceryl-3 Diisostearate, Magnesium Sulfate, Tocopheryl Acetate, Polymethylsilsesquioxane, Methicone, Laureth-7, Xanthan Gum, Alumina, Sodium Dehydroacetate, Disteardimonium Hectorite, Cellulose Gum, Propylene Carbonate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol, [+/- Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica, Titanium Dioxide (Ci 77891)] </p><p>Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.</p>",52.0,"A 24-hour liquid foundation with a flawless, natural, matte finish that unifies uneven skin tone and covers imperfections with buildable coverage.",834689.0,
foundation-makeup,LYS Beauty,Triple Fix Blurring and Hydrating Skin Tint Foundation Stick,https://www.sephora.com/productimages/sku/s2823011-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,P513483,4.6019,216,,,,,,0.0,
foundation-makeup,DIOR,Backstage Face & Body Foundation,https://www.sephora.com/productimages/sku/s2669539-main-zoom.jpg?imwidth=270,P432500,4.362,5201,"From catwalk-inspired cosmetics to cutting-edge skin care and timeless fragrances, Christian Dior has brought us some of the most luxurious, trendsetting, and fashionable beauty products around. It's this magical mix of couture-meets-cosmetics that not only attracts celebrities, supermodels, and the society set, but also has solidified Dior's reputation as one of the most unabashedly stylish beauty brands in the world.",dior,"-Squalane<br>-Hyaluronic Acid<br><br>Aqua (Water), C9-12 Alkane, Propanediol, Caprylic/Capric Triglyceride, Undecane, Polyglyceryl-6 Polyricinoleate, Glycerin, Tridecane, Cellulose, Trimethylsiloxysilicate, Lecithin, Alcohol, Pentylene Glycol, Polyglyceryl-10 Decaisostearate, Silica, Polyglyceryl-2 Isostearate, Stearalkonium Hectorite, Disteardimonium Hectorite, Parfum (Fragrance), Hydroxypropyl Starch, Sodium Chloride, Sodium Myristoyl Glutamate, Propylene Carbonate, Coco-Caprylate/Caprate, Hydroxyacetophenone, Sodium Benzoate, Squalane, Aluminum Hydroxide, Tocopherol, Stearoyl Glutamic Acid, Polyhydroxystearic Acid, Hyaluronic Acid, Citric Acid, Isostearic Acid, Polyglyceryl-3 Polyricinoleate, [+/- Ci 77891 (Titanium Dioxide), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides)].",43.0,"A hydrating foundation that delivers buildable coverage for the face and body, resists heat and humidity, and leaves a luminous makeup look.",553986.0,
foundation-makeup,Fenty Beauty by Rihanna,Pro Filt’r Soft Matte Longwear Liquid Foundation,https://www.sephora.com/productimages/sku/s1925478-main-zoom.jpg?imwidth=270,P87985432,4.0204,17418,,,,,,0.0,
foundation-makeup,Hourglass,Veil™ Hydrating Skin Tint Foundation,https://www.sephora.com/productimages/sku/s2690915-main-zoom.jpg?imwidth=270&pb=allure-2023-bestofbeauty-badge,P506573,4.4802,1316,,,,,,0.0,
